id,name,partOf,locationType
SO_CRVS_OFFICE_67,Xudun Civil Registration Office,Location/SO1601,CRVS_OFFICE
SO_CRVS_OFFICE_68,Borama Civil Registration Office,Location/SO1602,CRVS_OFFICE
SO_CRVS_OFFICE_69,Baki Civil Registration Office,Location/SO1603,CRVS_OFFICE
SO_CRVS_OFFICE_70,Lughaye Civil Registration Office,Location/SO1604,CRVS_OFFICE
SO_CRVS_OFFICE_71,Zeylac Civil Registration Office,Location/SO1605,CRVS_OFFICE
SO_CRVS_OFFICE_72,Hargeysa Civil Registration Office,Location/SO1606,CRVS_OFFICE
SO_CRVS_OFFICE_73,Berbera Civil Registration Office,Location/SO1607,CRVS_OFFICE
SO_CRVS_OFFICE_74,Gebiley Civil Registration Office,Location/SO1608,CRVS_OFFICE
SO_CRVS_OFFICE_75,Burco Civil Registration Office,Location/SO1609,CRVS_OFFICE
SO_CRVS_OFFICE_77,Owdweyne Civil Registration Office,Location/SO1611,CRVS_OFFICE
SO_CRVS_OFFICE_78,Sheikh Civil Registration Office,Location/SO1612,CRVS_OFFICE
SO_CRVS_OFFICE_79,Ceerigaabo Civil Registration Office,Location/SO1613,CRVS_OFFICE
SO_CRVS_OFFICE_80,Ceel Afweyn Civil Registration Office,Location/SO1614,CRVS_OFFICE
SO_CRVS_OFFICE_81,Laasqoray Civil Registration Office,Location/SO1615,CRVS_OFFICE
SO_CRVS_OFFICE_82,Caynabo Civil Registration Office,Location/SO1616,CRVS_OFFICE
SO_CRVS_OFFICE_83,Afgooye Civil Registration Office,Location/SO1701,CRVS_OFFICE
SO_CRVS_OFFICE_84,Baraawe Civil Registration Office,Location/SO1702,CRVS_OFFICE
SO_CRVS_OFFICE_85,Baydhaba Civil Registration Office,Location/SO1703,CRVS_OFFICE
SO_CRVS_OFFICE_86,Buur Hakaba Civil Registration Office,Location/SO1704,CRVS_OFFICE
SO_CRVS_OFFICE_87,Ceel Barde Civil Registration Office,Location/SO1705,CRVS_OFFICE
SO_CRVS_OFFICE_88,Diinsoor Civil Registration Office,Location/SO1706,CRVS_OFFICE
SO_CRVS_OFFICE_89,Kurtunwaarey Civil Registration Office,Location/SO1707,CRVS_OFFICE
SO_CRVS_OFFICE_90,Marka Civil Registration Office,Location/SO1708,CRVS_OFFICE
SO_CRVS_OFFICE_91,Qansax Dheere Civil Registration Office,Location/SO1709,CRVS_OFFICE
SO_CRVS_OFFICE_92,Qoryooley Civil Registration Office,Location/SO1710,CRVS_OFFICE
SO_CRVS_OFFICE_93,Rab Dhuure Civil Registration Office,Location/SO1711,CRVS_OFFICE
SO_CRVS_OFFICE_94,Sablaale Civil Registration Office,Location/SO1712,CRVS_OFFICE
SO_CRVS_OFFICE_95,Tayeeglow Civil Registration Office,Location/SO1713,CRVS_OFFICE
SO_CRVS_OFFICE_96,Waajid Civil Registration Office,Location/SO1714,CRVS_OFFICE
SO_CRVS_OFFICE_97,Wanla Weyn Civil Registration Office,Location/SO1715,CRVS_OFFICE
SO_CRVS_OFFICE_98,Xudur Civil Registration Office,Location/SO1716,CRVS_OFFICE
SO_CRVS_OFFICE_99,Taleex Civil Registration Office,Location/SO1801,CRVS_OFFICE
SO_CRVS_OFFICE_100,Laas Caanood Civil Registration Office,Location/SO1802,CRVS_OFFICE
